,Labeled Data,DataRow ID,Compassion,Aggression,Count
44,"A mighty man of Pisa; by report I know him well: you are very welcome, sir, Take you the lute, and you the set of books; You shall go see your pupils presently. Holla, within! Sirrah, lead these gentlemen To my daughters; and tell them both, These are their tutors: bid them use them well. We will go walk a little in the orchard, And then to dinner. You are passing welcome, And so I pray you all to think yourselves.",ckqi3jopwebgp0yu3gkwn431r,3.0,0.0,3
45,A pair of star-cross'd lovers take their life;,ckqi3jopbea0h0yu3a27y0lvn,0.0,0.0,4
46,"A pox on't, let it go; 'tis but a drum.",ckqi3jopqeasj0yu3dv37cgbm,0.0,0.0,2
47,"A proper squire! And who, and who? which way looks he?",ckqi3joope9lc0yu32ywn1kvx,0.0,0.0,1
48,"A round hose, madam, now's not worth a pin, Unless you have a codpiece to stick pins on.",ckqi3joq0ebv50yu367be6w95,0.0,0.0,4
49,"A traveller! By my faith, you have great reason to be sad: I fear you have sold your own lands to see other men's; then, to have seen much and to have nothing, is to have rich eyes and poor hands.",ckqi3joobe8ep0yu3btbn1ca9,1.0,0.0,4
50,"A widow, then?",ckqi3jopvebbk0yu38nk00rue,0.0,0.0,2
51,"A' said once, the devil would have him about women.",ckqi3jopdea5r0yu30055dwoj,0.0,0.0,3
52,"AEneas is a-field; And I do stand engaged to many Greeks, Even in the faith of valour, to appear This morning to them.",ckqi3joome9a80yu30qofeu3u,0.0,0.0,4
53,"About the ninth hour, lady.",ckqi3jop7e9r60yu3d7iaf9iy,0.0,0.0,4
54,Accursed be he that seeks to make them foes!,ckqi3joq0ebu10yu3gi2713i7,0.0,3.0,3
55,"Achilles bids me say, he is much sorry, If any thing more than your sport and pleasure Did move your greatness and this noble state To call upon him; he hopes it is no other But for your health and your digestion sake, And after-dinner's breath.",ckqi3jooie8w70yu3hafu18vp,2.0,0.0,3
56,"Adieu! tears exhibit my tongue. Most beautiful pagan, most sweet Jew! if a Christian did not play the knave and get thee, I am much deceived. But, adieu: these foolish drops do something drown my manly spirit: adieu.",ckqi3jopcea340yu3fh2weqip,0.0,1.0,1
57,"Alas, it is the baseness of thy fear That makes thee strangle thy propriety. Fear not, Cesario, take thy fortunes up, Be that thou know'st thou art, and then thou art As great as that thou fear'st. O welcome, father! Father, I charge thee by thy reverence Here to unfold (though lately we intended To keep in darkness what occasion now Reveals before 'tis ripe) what thou dost know Hath newly passed between this youth and me.",ckqi3joppeapm0yu3gvil2cgk,3.0,0.0,3
58,"Alas, you know, 'tis far from hence to France; How could he stay till Warwick made return?",ckqi3joq0ebvz0yu31xqb67rp,0.0,0.0,3
59,All victuallers do so; what's a joint of mutton or two in a whole Lent?,ckqi3jopyebme0yu3gnedhtim,0.0,0.0,3
60,"Am I that name, Iago?",ckqi3jopweber0yu3ahz4er8m,0.0,0.0,2
61,"An if my hand be out, then belike your hand is in.",ckqi3jopvebcj0yu3ftya9k3e,0.0,0.0,4
62,"And 'twas time for him too, I'll warrant him that: an he had stayed by him, I would not have been so fidiused for all the chests in Corioli, and the gold that's in them. Is the senate possessed of this?",ckqi3jooje9080yu36f4lc805,0.0,0.0,3
63,And I must be from thence!  My wife killed too?,ckqi3jooae8dl0yu34krb1l4o,0.0,0.0,3
64,And I'll go to bed at noon.,ckqi3joppeap70yu3bhckchvf,0.0,0.0,3
65,And I'll grow friend with danger. Wear this sleeve.,ckqi3jopzebsi0yu3dypag2oe,0.0,0.0,2
66,And have you?,ckqi3joohe8u90yu34ljn7tju,0.0,0.0,2
67,And he of these that can do most of all Cannot do more in England than the Nevils: Salisbury and Warwick are no simple peers.,ckqi3joole9670yu3batz4sby,0.0,0.0,3
68,And how accompanied? canst thou tell that?,ckqi3joofe8mw0yu3asc73hkr,0.0,0.0,3
69,And how was that ta'en up?,ckqi3jopzebr40yu3crje9l8q,0.0,0.0,4
70,"And so do I. Victorious Prince of York, Before I see thee seated in that throne Which now the house of Lancaster usurps, I vow by heaven these eyes shall never close. This is the palace of the fearful king, And this the regal seat: possess it, York; For this is thine and not King Henry's heirs'",ckqi3joo5e83l0yu36ups9zdg,2.0,0.0,2
71,"And so we will, provided that he win her.",ckqi3jopseb2y0yu36rpq0e1l,0.0,0.0,3
72,"And that is more than I will yield unto: I know I am too mean to be your queen, And yet too good to be your concubine.",ckqi3jopeeaca0yu37ze6bj4z,1.0,0.0,3
73,"And that well might Advise him to a caution, t'hold what distance His wisdom can provide. Some holy angel Fly to the court of England and unfold His message ere he come, that a swift blessing May soon return to this our suffering country Under a hand accursed.",ckqi3joole98a0yu32ngd89j0,0.0,1.0,3
74,"And what of him, Tranio?",ckqi3joome9bm0yu3299k7wau,0.0,0.0,2
75,"And yet, forsooth, she is a virgin pure. Strumpet, thy words condemn thy brat and thee: Use no entreaty, for it is in vain.",ckqi3jopbea1q0yu3f99whecb,0.0,1.0,3
76,"And you are well met, Signior Hortensio. Trow you whither I am going? To Baptista Minola. I promised to inquire carefully About a schoolmaster for the fair Bianca: And by good fortune I have lighted well On this young man, for learning and behavior Fit for her turn, well read in poetry And other books, good ones, I warrant ye.",ckqi3jopseb2o0yu386p7bzyg,2.0,0.0,2
77,"As ever you came of women, come in quickly to Sir John. Ah, poor heart! he is so shaked of a burning quotidian tertian, that it is most lamentable to behold. Sweet men, come to him.",ckqi3jopwebec0yu3a34j49qr,1.0,0.0,2
78,"As many devils entertain, and ""To her, boy!"" say I.",ckqi3jopneajn0yu37oa41jyc,0.0,0.0,2
79,"As well as we! ay, and better too; we offend worse. Neither is our profession any trade; it's no calling. But here comes Boult.",ckqi3jopxebkb0yu35xxz2xez,0.0,1.0,3
80,At thy good heart's oppression.,ckqi3jopbea0w0yu34i9qfgkz,1.0,0.0,4
81,"Aumerle that was; But that is lost for being Richard's friend, And, madam, you must call him Rutland now: I am in parliament pledge for his truth And lasting fealty to the new-made king.",ckqi3jopgeagg0yu34cwq1l1q,0.0,0.0,1
82,"Away, Away, you trifler! Love! I love thee not, I care not for thee, Kate: this is no world To play with mammets and to tilt with lips: We must have bloody noses and crack'd crowns, And pass them current too. God's me, my horse! What say'st thou, Kate? what would'st thou have with me?",ckqi3jopfead40yu3868lhdlp,0.0,2.0,3
83,"Away, Thou tedious rogue! I am sorry I shall lose A stone by thee.",ckqi3jopneakc0yu3dhqk17ov,0.0,3.0,3
84,"Ay, Marcius, Caius Marcius: dost thou think I'll grace thee with that robbery, thy stol'n name Coriolanus in Corioli? You lords and heads o' the state, perfidiously He has betray'd your business, and given up, For certain drops of salt, your city Rome, I say 'your city,' to his wife and mother; Breaking his oath and resolution like A twist of rotten silk, never admitting Counsel o' the war, but at his nurse's tears He whined and roar'd away your victory, That pages blush'd at him and men of heart Look'd wondering each at other.",ckqi3jooge8ou0yu3ewm78dgs,0.0,2.0,3
85,"Ay, and briefly.",ckqi3jooke94o0yu3f7vzf418,0.0,0.0,3
86,"Ay, and perversely she persevers so. What might we do to make the girl forget The love of Valentine and love Sir Thurio?",ckqi3jopwebfg0yu3fc3xg4et,0.0,0.0,3
87,"Ay, ay, Antipholus, look strange and frown: Some other mistress hath thy sweet aspects; I am not Adriana nor thy wife. The time was once when thou unurged wouldst vow That never words were music to thine ear, That never object pleasing in thine eye, That never touch well welcome to thy hand, That never meat sweet-savor'd in thy taste, Unless I spake, or look'd, or touch'd, or carved to thee. How comes it now, my husband, O, how comes it, That thou art thus estranged from thyself? Thyself I call it, being strange to me, That, undividable, incorporate, Am better than thy dear self's better part. Ah, do not tear away thyself from me! For know, my love, as easy mayest thou fall A drop of water in the breaking gulf, And take unmingled that same drop again, Without addition or diminishing, As take from me thyself and not me too. How dearly would it touch me to the quick, Shouldst thou but hear I were licentious And that this body, consecrate to thee, By ruffian lust should be contaminate! Wouldst thou not spit at me and spurn at me And hurl the name of husband in my face And tear the stain'd skin off my harlot-brow And from my false hand cut the wedding-ring And break it with a deep-divorcing vow? I know thou canst; and therefore see thou do it. I am possess'd with an adulterate blot; My blood is mingled with the crime of lust: For if we too be one and thou play false, I do digest the poison of thy flesh, Being strumpeted by thy contagion. Keep then far league and truce with thy true bed; I live unstain'd, thou undishonoured. ANTIPHOLUS",ckqi3jopteb4h0yu3aavcahy1,1.0,3.0,4
88,"Ay, forsooth, I have spoke with her, and we have  a nay-word how to know one another. I come to her  in white, and cry ""mum""; she cries ""budget,"" and by that  we know one another.",ckqi3joq0ebuq0yu3a78r8kwe,0.0,0.0,4
89,"Ay, good brother, or go about to think.",ckqi3jooje90n0yu398ac3zd1,0.0,0.0,3
90,"Ay, if I ever saw him before and knew him.",ckqi3joo6e84p0yu39c7r0o8i,0.0,0.0,3
91,"Ay, my good lord, he's dead.",ckqi3jopzebpl0yu3cb9m27zc,0.0,0.0,3
92,"Ay, sir; and he deserves so to be called for his peaceable reign and good government.",ckqi3jopbe9zs0yu3dsspen8m,3.0,0.0,3
93,"Ay, so please your majesty. The Duke of Exeter has very gallantly maintained the pridge: the French is gone off, look you; and there is gallant and most prave passages; marry, th' athversary was have possession of the pridge; but he is enforced to retire, and the Duke of Exeter is master of the pridge: I can tell your majesty, the duke is a prave man.",ckqi3jop9e9vr0yu3bpbvckck,2.0,0.0,3
94,"Ay, so the turn were served.",ckqi3joofe8ld0yu3ewy74lye,0.0,0.0,2
95,"Ay, that's well known: But what particular rarity? what strange, Which manifold record not matches? See, Magic of bounty! all these spirits thy power Hath conjured to attend. I know the merchant.",ckqi3joope9l70yu3gx614wr4,0.0,0.0,3
96,"Ay, there's the point, sir.",ckqi3jopueb880yu3cppj6nke,0.0,0.0,3
97,"Ay, though it look like thee.",ckqi3jopwebhj0yu398m79eb0,0.0,0.0,3
98,"Ay, too gentle.",ckqi3jooee8jp0yu3137h36bv,0.0,0.0,3
99,"Ay, why not? Grace is grace, despite of all controversy: as, for example, thou thyself art a wicked villain, despite of all grace.",ckqi3joome9an0yu3h8gedhmr,0.0,2.0,3
100,"Ay: But soon that war had end, and the time's state Made friends of them, joining their force 'gainst Caesar; Whose better issue in the war, from Italy, Upon the first encounter, drave them.",ckqi3joo6e8680yu3euetck9d,0.0,0.0,4
101,Bait the hook well; this fish will bite.,ckqi3jooie8xg0yu3g849h27p,0.0,0.0,2
102,"Bardolph, am I not fallen away vilely since this last action? do I not bate? do I not dwindle? Why my skin hangs about me like an like an old lady's loose gown; I am withered like an old apple-john. Well, I'll repent, and that suddenly, while I am in some liking; I shall be out of heart shortly, and then I shall have no strength to repent. An I have not forgotten what the inside of a church is made of, I am a peppercorn, a brewer's horse: the inside of a church! Company, villanous company, hath been the spoil of me.",ckqi3jopcea430yu30r6ce3m7,0.0,2.0,4
103,"Barely in title, not in revenue.",ckqi3jopxebjh0yu32cp6eegu,0.0,0.0,3
104,"Be bloody, bold and resolute;  laugh to scorn The power of man, for none of woman born Shall harm Macbeth.",ckqi3jopdea660yu38wj1eubk,0.0,1.0,3
105,"Be it a lordship, thou shalt have it for that word.",ckqi3joooe9gr0yu3bpa9fhuh,0.0,0.0,3
106,"Bear mine to him, and so depart in peace: Be thou as lightning in the eyes of France; For ere thou canst report I will be there, The thunder of my cannon shall be heard: So hence! Be thou the trumpet of our wrath And sullen presage of your own decay. An honourable conduct let him have: Pembroke, look to 't. Farewell, Chatillon.",ckqi3jopvebb50yu36bpq2tt9,1.0,0.0,2
107,"Beseech you, give me leave to retire myself.",ckqi3jooqe9nz0yu3gbedgzi0,0.0,0.0,3
108,"Beseech your highness, call the queen again.",ckqi3jooie8vs0yu32xqmc4d9,0.0,0.0,3
109,Beware the ides of March.,ckqi3joohe8sg0yu3ft6l8910,0.0,1.0,4
110,"Bid her have good heart: She soon shall know of us, by some of ours, How honourable and how kindly we Determine for her; for Caesar cannot live To be ungentle.",ckqi3joq0ebt70yu38v810peo,2.0,0.0,3
111,"Book of riddles? Why, did you not lend it to  Alice Shortcake upon Allhallowmas last, a fortnight a fore Michaelmas?",ckqi3jopueb7e0yu3202w8lp1,0.0,0.0,3
112,"Brave slip, sprung from the great Andronicus, Whose name was once our terror, now our comfort; Whose high exploits and honourable deeds Ingrateful Rome requites with foul contempt, Be bold in us: we'll follow where thou lead'st, Like stinging bees in hottest summer's day Led by their master to the flowered fields, And be avenged on cursed Tamora.",ckqi3jop8e9su0yu3g09zezgu,2.0,1.0,3
113,Brother Troilus!,ckqi3joq0ebva0yu387fr3me8,0.0,0.0,3
114,"But he loves Caesar best; yet he loves Antony: Ho! hearts, tongues, figures, scribes, bards, poets, cannot Think, speak, cast, write, sing, number, ho! His love to Antony. But as for Caesar, Kneel down, kneel down, and wonder.",ckqi3jooje8z40yu39y39hwun,1.0,0.0,1
115,"But little: I am arm'd and well prepared. Give me your hand, Bassanio: fare you well! Grieve not that I am fallen to this for you; For herein Fortune shows herself more kind Than is her custom: it is still her use To let the wretched man outlive his wealth, To view with hollow eye and wrinkled brow An age of poverty; from which lingering penance Of such misery doth she cut me off. Commend me to your honourable wife: Tell her the process of Antonio's end; Say how I loved you, speak me fair in death; And, when the tale is told, bid her be judge Whether Bassanio had not once a love. Repent but you that you shall lose your friend, And he repents not that he pays your debt; For if the Jew do cut but deep enough, I'll pay it presently with all my heart.",ckqi3jopgeaj30yu33nn9egx1,2.0,0.0,3
116,But repetition of what thou hast marr'd; That will I make before I let thee go.,ckqi3joooe9hl0yu37ymjehzx,0.0,2.0,3
117,But shall I live in hope?,ckqi3jopfeadt0yu3b7qh2fgw,0.0,0.0,4
118,But so is not she.,ckqi3jopbea020yu36d2j59yg,0.0,0.0,4
119,"But tell me, dost thou know my lady Silvia?",ckqi3joohe8tf0yu3d7yg8g4p,0.0,0.0,2
120,"But well, when I discourse of love and peace?",ckqi3jopcea480yu37t43fjwe,0.0,0.0,3
121,But while I say one prayer.,ckqi3jooqe9oj0yu3934x799e,0.0,0.0,2
122,"But, my good lord, How now for mitigation of this bill Urged by the commons? Doth his majesty Incline to it, or no?",ckqi3jopzebq00yu35oc7fufp,0.0,0.0,3
123,"By gar, he has save his soul, dat he is no come.  He has pray his pible well, dat he is no come. By gar,  Jack Rugby, he is dead already, if he be come.",ckqi3jopqeau20yu35hy203xi,0.0,1.0,3
124,"By heaven, methinks it were an easy leap, To pluck bright honour from the pale-faced moon, Or dive into the bottom of the deep, Where fathom-line could never touch the ground, And pluck up drowned honour by the locks; So he that doth redeem her thence might wear Without corrival, all her dignities: But out upon this half-faced fellowship!",ckqi3jopdea7k0yu31mz52k9h,0.0,0.0,1
125,"By heaven, that should be my handkerchief!",ckqi3jopvebc90yu37ifif2b1,0.0,0.0,3
126,By her he had two children at one birth.,ckqi3joobe8h70yu30xkz66hh,0.0,0.0,3
127,"Came you from Padua, from Bellario?",ckqi3jopxebid0yu38app7ieg,0.0,0.0,3
128,"Cassio, my lord? No sure, I cannot think it That he would steal away so guilty-like, Seeing your coming.",ckqi3jopreawz0yu3gdc27zcu,0.0,0.0,2
129,"Come on, my lords, the better foot before: Straight will I bring you to the loathsome pit Where I espied the panther fast asleep.",ckqi3jooce8j50yu3bxls9mup,0.0,0.0,4
130,"Come on, sir.",ckqi3jooke9260yu3cylj2adr,0.0,0.0,3
131,"Come, Antony! Away! Defiance, traitors, hurl we in your teeth! If you dare fight today, come to the field; If not, when you have stomachs!",ckqi3jopfeafm0yu31n3a12if,0.0,2.0,2
132,"Come, come, you're mocking: we will have no telling.",ckqi3joo8e88q0yu339h06sc9,0.0,0.0,3
133,"Come, let's in all.",ckqi3jooce8i10yu3ebrychtf,0.0,0.0,3
134,"Come, my captain knows you not.",ckqi3jooje90i0yu34f880p2s,0.0,0.0,4
135,"Come, officer, away!",ckqi3jooie8vn0yu3awyfdu8y,0.0,1.0,4
136,"Come, shelter, shelter: I have removed Falstaff's horse, and he frets like a gummed velvet.",ckqi3joo8e88g0yu39osv4i0n,0.0,0.0,2
137,"Come, to the port. I'll tell thee, Diomed, This brave shall oft make thee to hide thy head. Lady, give me your hand, and, as we walk, To our own selves bend we our needful talk.",ckqi3joo5e82m0yu3ejc3hlfc,0.0,0.0,3
138,"Confirm'd, confirm'd! O, that is stronger made Which was before barr'd up with ribs of iron! Would the two princes lie, and Claudio lie, Who loved her so, that, speaking of her foulness, Wash'd it with tears? Hence from her! let her die.",ckqi3jopeea9s0yu33m4974zd,0.0,2.0,3
139,"Cousin, farewell: what presence must not know, From where you do remain let paper show.",ckqi3joope9ip0yu3elm3269c,0.0,0.0,4
140,"De neck, madame.",ckqi3jopvebb00yu33xm7hxyi,0.0,0.0,3
141,"Dear general, I never gave you cause.",ckqi3jopzebsd0yu31hb4ce1n,0.0,0.0,3
142,Did he write this?,ckqi3jooae8cc0yu36dp10vv1,0.0,0.0,3
143,"Dismayed not this our captains, Macbeth and  Banquo?",ckqi3jooje9120yu30xwe5np3,0.0,0.0,3
144,"Do you hear, ho? you must meet my master to countenance my mistress.",ckqi3jopbea1g0yu31xe84sqm,0.0,0.0,2
145,Do you not hear him? You mar our labor.  Keep your cabins! You do assist the storm.,ckqi3jooae8cw0yu3g0ft9ml8,0.0,0.0,2
146,"Do, good William.",ckqi3jopyeboc0yu38z9f8230,0.0,0.0,3
147,Do. Remember your bold life too.,ckqi3jooge8of0yu333lb4vkk,0.0,0.0,3
148,Dolabella!,ckqi3jopwebe70yu30pd22mju,0.0,0.0,3
149,Dost thou forget From what a torment I did free thee?,ckqi3jopeeaac0yu32pp47bof,1.0,0.0,2
150,E'en such as you speak to me.,ckqi3jopzebqp0yu36t9744f6,0.0,0.0,4
151,"Even as a flattering dream or worthless fancy. Then take him up and manage well the jest: Carry him gently to my fairest chamber And hang it round with all my wanton pictures: Balm his foul head in warm distilled waters And burn sweet wood to make the lodging sweet: Procure me music ready when he wakes, To make a dulcet and a heavenly sound; And if he chance to speak, be ready straight And with a low submissive reverence Say 'What is it your honour will command?' Let one attend him with a silver basin Full of rose-water and bestrew'd with flowers, Another bear the ewer, the third a diaper, And say 'Will't please your lordship cool your hands?' Some one be ready with a costly suit And ask him what apparel he will wear; Another tell him of his hounds and horse, And that his lady mourns at his disease: Persuade him that he hath been lunatic; And when he says he is, say that he dreams, For he is nothing but a mighty lord. This do and do it kindly, gentle sirs: It will be pastime passing excellent, If it be husbanded with modesty.",ckqi3joppeas40yu339ah168v,2.0,0.0,2
152,"Even he, your wife, this lady, and myself, Are suitors to you.",ckqi3joo9e8b30yu3d3ltfos5,0.0,0.0,3
153,Even so great men great losses should endure.,ckqi3jopbea070yu32c5482h6,0.0,0.0,3
154,"Fair one, I think not so.",ckqi3joq0ebtm0yu3ebba03ev,0.0,0.0,3
